Beta,Step,Energy,Magnetization
0.1,1000,-1876,-172
0.1,1010,-1960,-132
0.1,1020,-2008,-22
0.1,1030,-2004,-12
0.1,1040,-2264,-284
0.1,1050,-1948,2
0.1,1060,-2216,12
0.1,1070,-2060,-184
0.1,1080,-2064,-246
0.1,1090,-2184,-26
0.1,1100,-2192,-100
0.1,1110,-2220,162
0.1,1120,-2000,-12
0.1,1130,-2096,-102
0.1,1140,-2036,-114
0.1,1150,-2060,150
0.1,1160,-1828,-146
0.1,1170,-1944,-94
0.1,1180,-2016,-72
0.1,1190,-2152,-128
0.1,1200,-1928,130
0.1,1210,-1908,152
0.1,1220,-2268,34
0.1,1230,-2028,134
0.1,1240,-1996,100
0.1,1250,-1912,156
0.1,1260,-2032,32
0.1,1270,-1796,-128
0.1,1280,-2288,-28
0.1,1290,-1808,-132
0.1,1300,-2032,-16
0.1,1310,-2072,192
0.1,1320,-1756,-80
0.1,1330,-2108,110
0.1,1340,-2028,0
0.1,1350,-2308,18
0.1,1360,-2180,34
0.1,1370,-2228,100
0.1,1380,-1856,74
0.1,1390,-2308,188
0.1,1400,-1900,108
0.1,1410,-1948,184
0.1,1420,-1896,58
0.1,1430,-1928,198
0.1,1440,-1956,126
0.1,1450,-1892,-4
0.1,1460,-1816,-38
0.1,1470,-2160,-178
0.1,1480,-2076,86
0.1,1490,-2148,56
0.1,1500,-2012,60
0.1,1510,-2248,-58
0.1,1520,-2244,-198
0.1,1530,-1832,-120
0.1,1540,-2092,-2
0.1,1550,-1804,-152
0.1,1560,-1924,-274
0.1,1570,-1952,-20
0.1,1580,-1880,56
0.1,1590,-2240,-16
0.1,1600,-2092,316
0.1,1610,-1784,-90
0.1,1620,-2100,24
0.1,1630,-2076,14
0.1,1640,-2116,-140
0.1,1650,-2064,-122
0.1,1660,-2072,-32
0.1,1670,-2148,8
0.1,1680,-2072,-80
0.1,1690,-2220,140
0.1,1700,-2216,-40
0.1,1710,-1876,-178
0.1,1720,-2036,90
0.1,1730,-1916,-38
0.1,1740,-1848,-56
0.1,1750,-2060,-16
0.1,1760,-1992,34
0.1,1770,-1956,256
0.1,1780,-1760,96
0.1,1790,-2088,66
0.1,1800,-2044,-226
0.1,1810,-1792,-214
0.1,1820,-1980,52
0.1,1830,-2300,44
0.1,1840,-1940,180
0.1,1850,-2284,332
0.1,1860,-1984,-166
0.1,1870,-1960,206
0.1,1880,-1980,-308
0.1,1890,-2068,40
0.1,1900,-1856,34
0.1,1910,-2060,-30
0.1,1920,-2264,-30
0.1,1930,-2136,22
0.1,1940,-2108,218
0.1,1950,-2048,82
0.1,1960,-2092,194
0.1,1970,-2108,-70
0.1,1980,-1960,80
0.1,1990,-2052,-176
0.1,2000,-1932,-58
0.1,2010,-2080,-118
0.1,2020,-2316,58
0.1,2030,-1860,-66
0.1,2040,-2072,-18
0.1,2050,-2140,-14
0.1,2060,-2276,0
0.1,2070,-1856,58
0.1,2080,-2080,4
0.1,2090,-2360,90
0.1,2100,-1840,10
0.1,2110,-1728,32
0.1,2120,-2092,-166
0.1,2130,-2276,152
0.1,2140,-1908,-100
0.1,2150,-1784,-122
0.1,2160,-2252,74
0.1,2170,-1856,60
0.1,2180,-1980,-226
0.1,2190,-2304,158
0.1,2200,-1984,-164
0.1,2210,-2056,-66
0.1,2220,-1768,164
0.1,2230,-2120,-56
0.1,2240,-2068,276
0.1,2250,-2112,-186
0.1,2260,-1856,-186
0.1,2270,-2004,138
0.1,2280,-2036,-72
0.1,2290,-2212,-46
0.1,2300,-1900,-222
0.1,2310,-2192,0
0.1,2320,-1968,122
0.1,2330,-2152,174
0.1,2340,-1936,-132
0.1,2350,-2012,-42
0.1,2360,-1784,192
0.1,2370,-2452,-100
0.1,2380,-1916,2
0.1,2390,-2260,-112
0.1,2400,-1932,-108
0.1,2410,-2004,-140
0.1,2420,-2236,54
0.1,2430,-2040,-96
0.1,2440,-1876,112
0.1,2450,-1788,-66
0.1,2460,-1904,108
0.1,2470,-1896,166
0.1,2480,-1956,132
0.1,2490,-1856,52
0.1,2500,-2064,46
0.1,2510,-1936,108
0.1,2520,-2008,8
0.1,2530,-2120,224
0.1,2540,-2248,66
0.1,2550,-2040,84
0.1,2560,-1868,-50
0.1,2570,-1836,34
0.1,2580,-2088,62
0.1,2590,-1832,-98
0.1,2600,-2340,-74
0.1,2610,-2016,180
0.1,2620,-2008,114
0.1,2630,-1996,-196
0.1,2640,-1880,54
0.1,2650,-2228,120
0.1,2660,-1996,62
0.1,2670,-2188,52
0.1,2680,-1952,-28
0.1,2690,-2312,-82
0.1,2700,-1812,102
0.1,2710,-1844,90
0.1,2720,-2020,82
0.1,2730,-2144,4
0.1,2740,-1932,-50
0.1,2750,-1944,30
0.1,2760,-2040,-122
0.1,2770,-1992,118
0.1,2780,-1976,-24
0.1,2790,-2108,184
0.1,2800,-1968,-228
0.1,2810,-1772,110
0.1,2820,-2284,50
0.1,2830,-1944,-84
0.1,2840,-2116,-70
0.1,2850,-2136,38
0.1,2860,-2136,-62
0.1,2870,-2084,-128
0.1,2880,-2156,142
0.1,2890,-2128,-56
0.1,2900,-1940,-150
0.1,2910,-2060,6
0.1,2920,-2044,-162
0.1,2930,-1896,-100
0.1,2940,-2312,136
0.1,2950,-2076,204
0.1,2960,-1928,34
0.1,2970,-2212,-98
0.1,2980,-1832,-40
0.1,2990,-1960,-42
0.1,3000,-1908,-152
0.1,3010,-1868,156
0.1,3020,-1868,292
0.1,3030,-2212,272
0.1,3040,-1860,-56
0.1,3050,-1956,130
0.1,3060,-1904,220
0.1,3070,-2144,-60
0.1,3080,-1904,-176
0.1,3090,-2056,106
0.1,3100,-1988,-54
0.1,3110,-1756,38
0.1,3120,-1696,-4
0.1,3130,-1956,-156
0.1,3140,-2204,-22
0.1,3150,-2020,-120
0.1,3160,-1968,-106
0.1,3170,-2228,-188
0.1,3180,-2244,-144
0.1,3190,-2200,56
0.1,3200,-1996,-112
0.1,3210,-2080,-180
0.1,3220,-2020,240
0.1,3230,-1964,120
0.1,3240,-2188,-38
0.1,3250,-2152,-48
0.1,3260,-2268,186
